feature,importance,shap_pct,category,method
chf,12.935175895690918,11.509352594498784,Clinical,xgb_gain
age,11.597841262817383,10.319430172825061,Clinical,xgb_gain
insurance_any,9.530413627624512,8.479891707409042,SDOH,xgb_gain
stroke,7.736210823059082,6.883460946025946,Clinical,xgb_gain
sex_male,6.013754367828369,5.350868051133434,Clinical,xgb_gain
ckd_stage_3b,5.7205095291137695,5.089947111789456,Clinical,xgb_gain
bmi,5.031739234924316,4.477098841586661,Clinical,xgb_gain
cancer,4.870431423187256,4.3335717263390565,Clinical,xgb_gain
home_owned,4.8035078048706055,4.2740249891073985,SDOH,xgb_gain
pir,4.5987114906311035,4.091803037922227,SDOH,xgb_gain
food_security_score,4.5334577560424805,4.033742115864067,SDOH,xgb_gain
log_uacr,4.499608993530273,4.003624447130221,Clinical,xgb_gain
hba1c,4.211057186126709,3.7468792339248975,Clinical,xgb_gain
egfr,4.1179914474487305,3.664071979539655,Clinical,xgb_gain
dbp,4.082701683044434,3.6326721481974964,Clinical,xgb_gain
ckd_stage_3a,3.8448734283447266,3.4210593133704843,Clinical,xgb_gain
sbp,3.7207772731781006,3.3106420745983294,Clinical,xgb_gain
education,3.6080164909362793,3.2103107291169772,SDOH,xgb_gain
hypertension,3.5192465782165527,3.1313257788145568,Clinical,xgb_gain
diabetes,3.4123620986938477,3.03622300080625,Clinical,xgb_gain
insurance_medicare,0.0,0.0,SDOH,xgb_gain
insurance_medicaid,0.0,0.0,SDOH,xgb_gain
employed,0.0,0.0,SDOH,xgb_gain
