threshold,model_nb,all_nb,none_nb
0.05,0.09398882477339957,0.09396585401321356,0.0
0.060000000000000005,0.08862237297727266,0.08432719288569455,0.0
0.07,0.08299999671558338,0.07448124872317513,0.0
0.08000000000000002,0.0803692450464052,0.06442126229625311,0.0
0.09000000000000001,0.07589691967448747,0.05414017726654162,0.0
0.1,0.07235602405194794,0.04363062368061431,0.0
0.11000000000000001,0.0693221631752774,0.03288490035118301,0.0
0.12000000000000001,0.06593810115410134,0.021894956036991903,0.0
0.13,0.06395640497595467,0.010652369324773425,0.0
0.14,0.06113968309765151,-0.0008516728923803618,0.0
0.15000000000000002,0.058809811056020636,-0.01262639845582017,0.0
0.16000000000000003,0.05592719008295565,-0.024681474627913258,0.0
0.17000000000000004,0.053166418318936294,-0.03702703456318934,0.0
0.18000000000000005,0.05057155080041979,-0.04967370571639898,0.0
0.19,0.04795606553852528,-0.06263264035487295,0.0
0.2,0.046295243347768994,-0.07591554835930889,0.0
0.21000000000000002,0.04442307872967411,-0.08953473251575586,0.0
0.22000000000000003,0.04212781613384217,-0.10350312652236812,0.0
0.23000000000000004,0.03979002953167405,-0.11783433595772355,0.0
0.24000000000000005,0.037662204831353435,-0.13254268248348308,0.0
0.25000000000000006,0.035511648615474165,-0.14764325158326289,0.0
0.26000000000000006,0.034256427663098395,-0.16315194417222587,0.0
0.27,0.031808864708310236,-0.1790855324485577,0.0
0.28,0.030115831025263683,-0.19546172039923213,0.0
0.29000000000000004,0.028132004394583507,-0.21229920941893962,0.0
0.30000000000000004,0.026556102999911936,-0.22961776955349592,0.0
0.31000000000000005,0.024510610003347054,-0.2474383169383292,0.0
0.32000000000000006,0.022241424861855916,-0.26578299806977534,0.0
0.33,0.020465647180653253,-0.28467528162305544,0.0
0.34,0.019407807043599137,-0.30414005861734417,0.0
0.35000000000000003,0.01851900783933883,-0.3242037518268418,0.0
0.36000000000000004,0.01747241958315108,-0.3448944354491362,0.0
0.37000000000000005,0.014744301581405814,-0.36624196617055105,0.0
0.38000000000000006,0.013858984415480231,-0.38827812691523744,0.0
0.39000000000000007,0.012516237687287886,-0.41103678473352,0.0
0.4000000000000001,0.01176897520860664,-0.43455406447907874,0.0
